Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
0,25.04,100,16.2098459909137,14.8002941656169,1.28849056567779,1.28405301471379,0.0101761027076508,137.605824759004,133.129788503238,42
0,25.04,100,15.8649556506815,14.8302846299849,1.28761874075128,1.28414743069174,0.010178484810793,138.477464479581,134.024995754391,43
0,25.04,100,15.5274034027947,14.852298907021,1.2867647081702,1.28422128835259,0.0101808497701978,139.34050894442,134.915489499429,44
0,25.04,100,15.1970331176288,14.866662832463,1.28592810482547,1.28427540366785,0.0101831960024516,140.194392031232,135.800493388427,45
0,25.04,100,14.8736919874665,14.8736919874665,1.28510857501839,1.28431056752227,0.0101855220109846,141.038582357366,136.679273116988,46
0,25.04,100,14.5572304558183,14.8736919874665,1.28430577030942,1.28432754640517,0.0101878263829956,141.872581984652,137.551134965064,47
0,25.04,100,14.2475021482477,14.8669587633889,1.28351934937002,1.28432708308398,0.0101901077864702,142.69592516399,138.415424368981,48
0,25.04,100,13.944363804668,14.8537788354072,1.28274897783754,1.28430989726028,0.0101923649672872,143.508177118588,139.271524527983,49
0,25.04,100,13.6476752130793,14.834429579434,1.28199432817307,1.28427668620873,0.0101945967464127,144.308932864758,140.118855046104,50
0,25.04,100,13.3572991447159,14.8091794865328,1.28125507952216,1.28422812539946,0.0101968020171786,145.097816069241,140.956870609835,51
0,25.04,100,13.073101290573,14.7782884154304,1.28053091757842,1.2841648691042,0.0101989797426433,145.874477942027,141.785059701716,52
0,25.04,100,12.7949501992842,14.7420078383057,1.27982153444985,1.28408755098663,0.0102011289530326,146.638596163685,142.602943349778,53
0,25.04,100,12.5227172163207,14.7005810800287,1.27912662852799,1.28399678467734,0.0102032487432582,147.389873846252,143.410073912559,54
0,25.04,100,12.2562764244841,14.6542435510136,1.27844590435963,1.28389316433373,0.010205338270512,148.12803852673,144.206033899298,55
0,25.04,100,11.9955045856653,14.6032229738534,1.27777907252124,1.28377726518535,0.0102073967519343,148.852841192285,144.990434824784,56
0,25.04,100,11.7402810838426,14.547739603892,1.27712584949588,1.28364964406484,0.0102094234623526,149.564055336268,145.762916098285,57
