Meal_size,Steady_insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
10,25.04,100,1.22443290581207,2.57418090646205,1.24712957674586,1.24851135643777,0.0101107677366937,122.785335584922,122.535047422162,98.6
10,25.04,100,1.22182772941673,2.57130910220535,1.24712680443471,1.24850841648098,0.0101107700413992,122.788825555006,122.540053185417,98.7
10,25.04,100,1.21922809594988,2.56843786524197,1.24712403778133,1.24850547688088,0.0101107723184192,122.792287049295,122.545028632809,98.8
10,25.04,100,1.21663399361807,2.56556720615837,1.24712127677418,1.24850253764875,0.0101107745677862,122.795720107954,122.549973801138,98.9
10,25.04,100,1.21404541065293,2.56269713549339,1.24711852140174,1.24849959879583,0.0101107767895326,122.799124771189,122.554888727275,99
10,25.04,100,1.21146233531111,2.55982766373841,1.24711577165251,1.24849666033329,0.010110778983691,122.80250107924,122.559773448153,99.1
10,25.04,100,1.20888475587428,2.5569588013375,1.24711302751501,1.24849372227227,0.0101107811502939,122.805849072391,122.564628000775,99.2
10,25.04,100,1.20631266064902,2.55409055868758,1.24711028897779,1.24849078462385,0.010110783289374,122.80916879096,122.569452422207,99.3
10,25.04,100,1.20374603796679,2.55122294613856,1.24710755602943,1.24848784739907,0.010110785400964,122.812460275304,122.574246749582,99.4
10,25.04,100,1.20118487618388,2.54835597399352,1.24710482865851,1.24848491060892,0.0101107874850968,122.815723565817,122.579011020097,99.5
10,25.04,100,1.19862916368136,2.54548965250882,1.24710210685365,1.24848197426434,0.0101107895418051,122.818958702928,122.583745271011,99.6
10,25.04,100,1.19607888886502,2.54262399189429,1.2470993906035,1.24847903837624,0.0101107915711218,122.822165727105,122.588449539649,99.7
10,25.04,100,1.1935340401653,2.53975900231338,1.24709667989671,1.24847610295544,0.0101107935730799,122.82534467885,122.593123863398,99.8
10,25.04,100,1.19099460603729,2.53689469388327,1.24709397472198,1.24847316801276,0.0101107955477124,122.828495598699,122.597768279707,99.9
10,25.04,100,1.18846057496062,2.53403107667509,1.24709127506801,1.24847023355895,0.0101107974950524,122.831618527225,122.602382826087,100
10,25.04,100,1.18593193543942,2.531168160714,1.24708858092355,1.24846729960472,0.010110799415133,122.834713505035,122.60696754011,100.1
10,25.04,100,1.18340867600232,2.52830595597937,1.24708589227733,1.24846436616072,0.0101108013079873,122.837780572768,122.611522459409,100.2
10,25.04,100,1.18089078520231,2.52544447240495,1.24708320911815,1.24846143323756,0.0101108031736487,122.8408197711,122.616047621676,100.3
10,25.04,100,1.17837825161678,2.52258371987899,1.2470805314348,1.24845850084582,0.0101108050121504,122.843831140736,122.620543064664,100.4
10,25.04,100,1.17587106384738,2.51972370824439,1.24707785921612,1.24845556899601,0.0101108068235258,122.846814722418,122.625008826186,100.5
10,25.04,100,1.17336921052004,2.51686444729886,1.24707519245094,1.2484526376986,0.0101108086078083,122.849770556916,122.62944494411,100.6
10,25.04,100,1.1708726802849,2.51400594679508,1.24707253112814,1.24844970696403,0.0101108103650313,122.852698685035,122.633851456366,100.7
10,25.04,100,1.1683814618162,2.5111482164408,1.24706987523661,1.24844677680268,0.0101108120952283,122.85559914761,122.63822840094,100.8
10,25.04,100,1.16589554381234,2.50829126589905,1.24706722476527,1.24844384722488,0.010110813798433,122.858471985507,122.642575815873,100.9
10,25.04,100,1.16341491499572,2.50543510478822,1.24706457970305,1.24844091824092,0.010110815474679,122.861317239624,122.646893739266,101
10,25.04,100,1.16093956411275,2.50257974268228,1.24706194003892,1.24843798986105,0.0101108171239998,122.864134950886,122.651182209273,101.1
10,25.04,100,1.15846947993379,2.49972518911086,1.24705930576186,1.24843506209548,0.0101108187464293,122.866925160252,122.655441264105,101.2
10,25.04,100,1.15600465125308,2.49687145355942,1.24705667686087,1.24843213495434,0.0101108203420013,122.869687908706,122.659670942028,101.3
10,25.04,100,1.15354506688871,2.4940185454694,1.24705405332499,1.24842920844776,0.0101108219107495,122.872423237265,122.663871281362,101.4
10,25.04,100,1.15109071568256,2.49116647423838,1.24705143514326,1.2484262825858,0.0101108234527078,122.875131186971,122.66804232048,101.5
10,25.04,100,1.14864158650026,2.48831524922018,1.24704882230476,1.24842335737847,0.0101108249679102,122.877811798897,122.67218409781,101.6
10,25.04,100,1.14619766823111,2.48546487972503,1.24704621479858,1.24842043283576,0.0101108264563907,122.880465114141,122.676296651831,101.7
10,25.04,100,1.14375894978806,2.48261537501972,1.24704361261385,1.2484175089676,0.0101108279181832,122.883091173831,122.680380021078,101.8
10,25.04,100,1.14132542010766,2.47976674432774,1.2470410157397,1.24841458578387,0.0101108293533219,122.88569001912,122.684434244133,101.9
10,25.04,100,1.13889706814999,2.4769189968294,1.24703842416529,1.24841166329441,0.010110830761841,122.888261691189,122.688459359632,102
10,25.04,100,1.1364738828986,2.47407214166199,1.2470358378798,1.24840874150903,0.0101108321437745,122.890806231243,122.692455406264,102.1
10,25.04,100,1.13405585336052,2.47122618791994,1.24703325687245,1.24840582043748,0.0101108334991567,122.893323680515,122.696422422763,102.2
10,25.04,100,1.13164296856614,2.46838114465492,1.24703068113247,1.24840290008947,0.0101108348280218,122.895814080261,122.700360447918,102.3
10,25.04,100,1.12923521756919,2.46553702087601,1.24702811064909,1.24839998047466,0.0101108361304043,122.898277471765,122.704269520565,102.4
10,25.04,100,1.1268325894467,2.46269382554983,1.2470255454116,1.24839706160269,0.0101108374063384,122.900713896333,122.708149679589,102.5
10,25.04,100,1.12443507329894,2.45985156760067,1.24702298540929,1.24839414348314,0.0101108386558586,122.903123395296,122.712000963924,102.6
10,25.04,100,1.12204265824937,2.45701025591067,1.24702043063147,1.24839122612553,0.0101108398789994,122.905506010009,122.715823412551,102.7
10,25.04,100,1.11965533344458,2.4541698993199,1.24701788106748,1.24838830953938,0.0101108410757951,122.907861781849,122.7196170645,102.8
10,25.04,100,1.11727308805428,2.45133050662655,1.24701533670669,1.24838539373412,0.0101108422462805,122.910190752219,122.723381958847,102.9
10,25.04,100,1.11489591127118,2.44849208658703,1.24701279753847,1.24838247871917,0.01011084339049,122.912492962542,122.727118134715,103
10,25.04,100,1.11252379231103,2.44565464791615,1.24701026355223,1.24837956450389,0.0101108445084584,122.914768454264,122.730825631271,103.1
10,25.04,100,1.1101567204125,2.4428181992872,1.24700773473738,1.24837665109761,0.0101108456002203,122.917017268853,122.734504487731,103.2
10,25.04,100,1.10779468483715,2.43998274933215,1.24700521108338,1.24837373850961,0.0101108466658104,122.919239447798,122.738154743354,103.3
10,25.04,100,1.10543767486941,2.43714830664173,1.2470026925797,1.24837082674913,0.0101108477052634,122.92143503261,122.741776437443,103.4
10,25.04,100,1.1030856798165,2.43431487976562,1.24700017921582,1.24836791582536,0.0101108487186143,122.92360406482,122.745369609346,103.5
10,25.04,100,1.10073868900838,2.43148247721254,1.24699767098126,1.24836500574747,0.0101108497058979,122.92574658598,122.748934298455,103.6
10,25.04,100,1.09839669179772,2.4286511074504,1.24699516786554,1.24836209652456,0.010110850667149,122.927862637661,122.752470544206,103.7
10,25.04,100,1.09605967755985,2.42582077890646,1.24699266985822,1.24835918816571,0.0101108516024026,122.929952261454,122.755978386075,103.8
10,25.04,100,1.09372763569271,2.42299149996743,1.24699017694887,1.24835628067995,0.0101108525116936,122.932015498971,122.759457863583,103.9
10,25.04,100,1.09140055561676,2.42016327897961,1.24698768912709,1.24835337407627,0.0101108533950571,122.93405239184,122.76290901629,104
10,25.04,100,1.08907842677503,2.41733612424905,1.2469852063825,1.24835046836361,0.0101108542525282,122.93606298171,122.766331883801,104.1
10,25.04,100,1.08676123863295,2.41451004404166,1.24698272870474,1.24834756355089,0.0101108550841419,122.938047310246,122.769726505759,104.2
10,25.04,100,1.08444898067841,2.41168504658334,1.24698025608346,1.24834465964696,0.0101108558899333,122.940005419133,122.773092921849,104.3
10,25.04,100,1.08214164242165,2.40886114006014,1.24697778850835,1.24834175666065,0.0101108566699377,122.941937350071,122.776431171795,104.4
10,25.04,100,1.07983921339522,2.40603833261835,1.24697532596911,1.24833885460075,0.0101108574241903,122.94384314478,122.77974129536,104.5
10,25.04,100,1.07754168315396,2.40321663236469,1.24697286845545,1.24833595347601,0.0101108581527262,122.945722844995,122.783023332349,104.6
10,25.04,100,1.0752490412749,2.40039604736637,1.24697041595713,1.24833305329511,0.0101108588555809,122.947576492466,122.786277322602,104.7
10,25.04,100,1.0729612773573,2.39757658565128,1.24696796846391,1.24833015406673,0.0101108595327896,122.949404128963,122.789503305999,104.8
10,25.04,100,1.0706783810225,2.3947582552081,1.24696552596557,1.24832725579949,0.0101108601843876,122.951205796267,122.792701322458,104.9
10,25.04,100,1.06840034191394,2.39194106398643,1.24696308845193,1.24832435850197,0.0101108608104105,122.952981536178,122.795871411934,105
10,25.04,100,1.0661271496971,2.38912501989691,1.2469606559128,1.24832146218272,0.0101108614108935,122.95473139051,122.799013614419,105.1
10,25.04,100,1.06385879405945,2.38631013081138,1.24695822833803,1.24831856685023,0.0101108619858723,122.95645540109,122.802127969941,105.2
10,25.04,100,1.06159526471038,2.38349640456297,1.24695580571751,1.24831567251297,0.0101108625353822,122.958153609761,122.805214518564,105.3
10,25.04,100,1.05933655138121,2.38068384894627,1.2469533880411,1.24831277917936,0.0101108630594589,122.959826058379,122.808273300388,105.4
10,25.04,100,1.05708264382508,2.3778724717174,1.24695097529873,1.24830988685779,0.0101108635581379,122.961472788816,122.811304355548,105.5
10,25.04,100,1.05483353181694,2.37506228059423,1.24694856748032,1.2483069955566,0.0101108640314549,122.963093842953,122.814307724213,105.6
10,25.04,100,1.0525892051535,2.3722532832564,1.24694616457583,1.2483041052841,0.0101108644794454,122.964689262687,122.817283446588,105.7
10,25.04,100,1.05034965365318,2.36944548734555,1.24694376657522,1.24830121604855,0.0101108649021451,122.966259089928,122.82023156291,105.8
10,25.04,100,1.04811486715604,2.36663890046535,1.24694137346849,1.24829832785818,0.0101108652995899,122.967803366595,122.82315211345,105.9
10,25.04,100,1.0458848355238,2.36383353018171,1.24693898524565,1.24829544072118,0.0101108656718153,122.969322134623,122.826045138513,106
10,25.04,100,1.0436595486397,2.36102938402287,1.24693660189674,1.2482925546457,0.0101108660188572,122.970815435956,122.828910678435,106.1
10,25.04,100,1.04143899640855,2.3582264694795,1.24693422341181,1.24828966963985,0.0101108663407514,122.972283312549,122.831748773586,106.2
10,25.04,100,1.03922316875662,2.35542479400488,1.24693184978092,1.24828678571171,0.0101108666375337,122.973725806369,122.834559464365,106.3
10,25.04,100,1.03701205563161,2.35262436501499,1.24692948099418,1.2482839028693,0.0101108669092401,122.975142959394,122.837342791205,106.4
10,25.04,100,1.0348056470026,2.34982518988864,1.2469271170417,1.24828102112063,0.0101108671559063,122.976534813612,122.840098794569,106.5
10,25.04,100,1.03260393286004,2.34702727596761,1.24692475791361,1.24827814047365,0.0101108673775684,122.977901411019,122.84282751495,106.6
10,25.04,100,1.03040690321566,2.34423063055674,1.24692240360007,1.24827526093629,0.0101108675742623,122.979242793623,122.845528992871,106.7
10,25.04,100,1.02821454810244,2.3414352609241,1.24692005409125,1.24827238251643,0.0101108677460239,122.98055900344,122.848203268886,106.8
10,25.04,100,1.02602685757456,2.33864117430108,1.24691770937735,1.24826950522191,0.0101108678928894,122.981850082496,122.850850383577,106.9
10,25.04,100,1.02384382170738,2.33584837788251,1.24691536944858,1.24826662906054,0.0101108680148948,122.983116072824,122.853470377556,107
10,25.04,100,1.02166543059736,2.33305687882682,1.24691303429517,1.24826375404008,0.0101108681120761,122.984357016468,122.856063291461,107.1
10,25.04,100,1.01949167436205,2.33026668425611,1.24691070390738,1.24826088016829,0.0101108681844695,122.985572955477,122.858629165961,107.2
10,25.04,100,1.01732254314,2.32747780125634,1.24690837827549,1.24825800745284,0.0101108682321111,122.98676393191,122.861168041752,107.3
10,25.04,100,1.01515802709077,2.32469023687737,1.24690605738978,1.2482551359014,0.0101108682550371,122.987929987832,122.863679959555,107.4
10,25.04,100,1.01299811639483,2.32190399813314,1.24690374124057,1.24825226552158,0.0101108682532836,122.989071165315,122.86616496012,107.5
10,25.04,100,1.01084280125357,2.31911909200178,1.2469014298182,1.24824939632099,0.0101108682268869,122.990187506439,122.868623084224,107.6
10,25.04,100,1.0086920718892,2.31633552542572,1.24689912311302,1.24824652830715,0.0101108681758832,122.991279053289,122.871054372668,107.7
10,25.04,100,1.00654591854475,2.31355330531182,1.2468968211154,1.24824366148759,0.0101108681003088,122.992345847958,122.873458866281,107.8
10,25.04,100,1.00440433148402,2.31077243853146,1.24689452381573,1.24824079586978,0.0101108680002,122.993387932543,122.875836605914,107.9
